bond,timestamp,yield
US2Y,2025-10-27 13:30:00,3.5074
US2Y,2025-10-27 13:45:00,3.5074
US2Y,2025-10-27 14:00:00,3.5053
US2Y,2025-10-27 14:15:00,3.5074
US2Y,2025-10-27 14:30:00,3.5053
US2Y,2025-10-27 14:45:00,3.501
US2Y,2025-10-27 15:00:00,3.501
US2Y,2025-10-27 15:15:00,3.5032
US2Y,2025-10-27 15:30:00,3.5032
US2Y,2025-10-27 15:45:00,3.5032
US2Y,2025-10-28 09:30:00,3.5102
US2Y,2025-10-28 09:45:00,3.5041
US2Y,2025-10-28 10:00:00,3.5041
US2Y,2025-10-28 10:15:00,3.5
US2Y,2025-10-28 10:30:00,3.498
US2Y,2025-10-28 10:45:00,3.4939
US2Y,2025-10-28 11:00:00,3.498
US2Y,2025-10-28 11:15:00,3.4959
US2Y,2025-10-28 11:30:00,3.4919
US2Y,2025-10-28 11:45:00,3.4939
US2Y,2025-10-28 12:00:00,3.4959
US2Y,2025-10-28 12:15:00,3.5
US2Y,2025-10-28 12:30:00,3.5061
US2Y,2025-10-28 12:45:00,3.498
US2Y,2025-10-28 13:00:00,3.498
US2Y,2025-10-28 13:15:00,3.4959
US2Y,2025-10-28 13:30:00,3.498
US2Y,2025-10-28 13:45:00,3.4959
US2Y,2025-10-28 14:00:00,3.4959
US2Y,2025-10-28 14:15:00,3.498
US2Y,2025-10-28 14:30:00,3.498
US2Y,2025-10-28 14:45:00,3.4939
US2Y,2025-10-28 15:00:00,3.4939
US2Y,2025-10-28 15:15:00,3.4919
US2Y,2025-10-28 15:30:00,3.4878
US2Y,2025-10-28 15:45:00,3.4878
US2Y,2025-10-29 09:30:00,3.4919
US2Y,2025-10-29 09:45:00,3.5
US2Y,2025-10-29 10:00:00,3.502
US2Y,2025-10-29 10:15:00,3.5041
US2Y,2025-10-29 10:30:00,3.502
US2Y,2025-10-29 10:45:00,3.502
US2Y,2025-10-29 11:00:00,3.5
US2Y,2025-10-29 11:30:00,3.502
US2Y,2025-10-29 11:45:00,3.502
US2Y,2025-10-29 12:00:00,3.498
US2Y,2025-10-29 12:15:00,3.5
US2Y,2025-10-29 12:30:00,3.5041
US2Y,2025-10-29 12:45:00,3.5081
US2Y,2025-10-29 13:00:00,3.5061
US2Y,2025-10-29 13:15:00,3.5143
US2Y,2025-10-29 13:30:00,3.5143
US2Y,2025-10-29 13:45:00,3.5163
US2Y,2025-10-29 14:00:00,3.5225
US2Y,2025-10-29 14:15:00,3.5265
US2Y,2025-10-29 14:30:00,3.5735
US2Y,2025-10-29 14:45:00,3.5775
US2Y,2025-10-29 15:00:00,3.5816
US2Y,2025-10-29 15:15:00,3.596
US2Y,2025-10-29 15:30:00,3.6103
US2Y,2025-10-29 15:45:00,3.6
US2Y,2025-10-30 09:30:00,3.6246
US2Y,2025-10-30 09:45:00,3.6246
US2Y,2025-10-30 10:00:00,3.6205
US2Y,2025-10-30 10:15:00,3.6143
US2Y,2025-10-30 10:30:00,3.6143
US2Y,2025-10-30 10:45:00,3.6123
US2Y,2025-10-30 11:00:00,3.6082
US2Y,2025-10-30 11:15:00,3.6021
US2Y,2025-10-30 11:30:00,3.596
US2Y,2025-10-30 11:45:00,3.6021
US2Y,2025-10-30 12:00:00,3.6041
US2Y,2025-10-30 12:15:00,3.6041
US2Y,2025-10-30 12:30:00,3.6082
US2Y,2025-10-30 12:45:00,3.6123
US2Y,2025-10-30 13:00:00,3.6103
US2Y,2025-10-30 13:15:00,3.6082
US2Y,2025-10-30 13:30:00,3.6103
US2Y,2025-10-30 13:45:00,3.6082
US2Y,2025-10-30 14:00:00,3.6123
US2Y,2025-10-30 14:15:00,3.6062
US2Y,2025-10-30 14:30:00,3.6082
US2Y,2025-10-30 14:45:00,3.6143
US2Y,2025-10-30 15:00:00,3.6123
US2Y,2025-10-30 15:15:00,3.6123
US2Y,2025-10-30 15:30:00,3.6103
US2Y,2025-10-30 15:45:00,3.6123
US2Y,2025-10-31 09:30:00,3.6003
US2Y,2025-10-31 09:45:00,3.6024
US2Y,2025-10-31 10:00:00,3.5983
US2Y,2025-10-31 10:15:00,3.5962
US2Y,2025-10-31 10:30:00,3.5942
US2Y,2025-10-31 10:45:00,3.5901
US2Y,2025-10-31 11:00:00,3.5942
US2Y,2025-10-31 11:15:00,3.5962
US2Y,2025-10-31 11:30:00,3.6024
US2Y,2025-10-31 11:45:00,3.6024
US2Y,2025-10-31 12:00:00,3.6003
US2Y,2025-10-31 12:15:00,3.6065
US2Y,2025-10-31 12:30:00,3.6044
US2Y,2025-10-31 12:45:00,3.6024
US2Y,2025-10-31 13:00:00,3.6024
US2Y,2025-10-31 13:15:00,3.6024
US2Y,2025-10-31 13:30:00,3.6024
US2Y,2025-10-31 13:45:00,3.6044
US2Y,2025-10-31 14:00:00,3.6065
US2Y,2025-10-31 14:15:00,3.6024
US2Y,2025-10-31 14:30:00,3.6024
US2Y,2025-10-31 14:45:00,3.6065
US2Y,2025-10-31 15:00:00,3.6024
US2Y,2025-10-31 15:15:00,3.6024
US2Y,2025-10-31 15:30:00,3.6003
US2Y,2025-10-31 15:45:00,3.5983
